Type,GradeLevel,Correct
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,1
safety,8.85,0
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,1
safety,8.85,1
security,9,0
safety,9.05,1
security,10,0
security,8.8,1
safety,10.05,1
security,9,0
safety,9.05,1
security,10,0
security,8.8,0
safety,10.05,0
safety,8.85,1
security,9,0
safety,9.05,0
security,10,1
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,1
safety,8.85,0
security,9,0
safety,9.05,1
security,10,1
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,0
safety,9.05,1
security,10,0
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,0
safety,9.05,1
security,10,0
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,1
safety,9.05,1
security,10,0
security,8.8,1
safety,10.05,0
safety,8.85,0
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,0
safety,8.85,0
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,0
safety,8.85,1
security,9,0
safety,9.05,1
security,10,1
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,1
safety,8.85,1
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,1
safety,8.85,0
security,9,0
safety,9.05,0
security,10,1
security,8.8,1
safety,10.05,0
safety,8.85,0
security,9,1
safety,9.05,1
security,10,0
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,0
safety,8.85,1
security,9,0
safety,9.05,1
security,10,0
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
security,9,0
safety,9.05,0
security,10,1
security,8.8,1
safety,10.05,1
safety,8.85,0
security,9,1
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,0
safety,8.85,1
security,9,0
safety,9.05,0
security,10,0
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,0
safety,8.85,0
security,9,1
safety,9.05,1
security,10,1
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,1
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,1
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
security,9,1
safety,9.05,1
security,10,0
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,0
safety,9.05,1
security,10,0
security,8.8,1
safety,10.05,0
safety,8.85,0
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,0
safety,8.85,0
security,9,0
safety,9.05,0
security,10,0
security,8.8,1
safety,10.05,0
safety,8.85,1
security,9,0
safety,9.05,1
security,10,1
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,1
safety,9.05,1
security,10,0
security,8.8,0
safety,10.05,1
safety,8.85,1
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,0
safety,8.85,0
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,0
safety,8.85,0
security,9,0
safety,9.05,1
security,10,0
security,8.8,1
safety,10.05,0
safety,8.85,1
security,9,0
safety,9.05,0
security,10,0
security,8.8,1
safety,10.05,1
safety,8.85,0
security,9,0
safety,9.05,1
security,10,1
security,8.8,1
safety,10.05,0
safety,8.85,0
security,9,0
safety,9.05,1
security,10,1
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,1
safety,9.05,0
security,10,0
security,8.8,1
safety,10.05,0
safety,8.85,1
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,1
safety,8.85,0
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,0
safety,8.85,0
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,0
safety,8.85,0
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,0
safety,8.85,0
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,1
safety,8.85,1
security,9,1
safety,9.05,1
security,10,0
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,1
safety,9.05,1
security,10,1
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,0
safety,8.85,0
security,9,0
safety,9.05,1
security,10,0
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,0
safety,9.05,1
security,10,0
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,1
safety,9.05,0
security,10,0
security,8.8,1
safety,10.05,1
safety,8.85,0
security,9,0
safety,9.05,1
security,10,0
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,0
safety,9.05,1
security,10,0
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,0
safety,8.85,0
security,9,1
safety,9.05,1
security,10,1
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,0
safety,9.05,1
security,10,0
security,8.8,0
safety,10.05,1
safety,8.85,1
security,9,0
safety,9.05,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,0
safety,8.85,0
security,9,0
safety,9.05,0
security,10,0
security,8.8,0
safety,10.05,0
safety,8.85,0
security,9,1
safety,9.05,1
security,10,0
security,8.8,1
safety,10.05,1
safety,8.85,1
security,9,1
safety,9.05,0
security,10,1
security,8.8,1
safety,10.05,1
safety,8.85,0
security,9,0
safety,9.05,0
security,10,1
security,8.8,1
safety,10.05,1
safety,8.85,1
