avg,secAvg,safAvg
3023.5,2145.6666666666665,3901.3333333333335
4861.666666666667,3747.3333333333335,5976
6692.2,6258,7343.5
6831.5,4525.666666666667,9137.333333333334
3743.8333333333335,3051.6666666666665,4436
2163.5,1872,2455
3052.3333333333335,2573.6666666666665,3531
3776.5,3689.6666666666665,3863.3333333333335
3962.6666666666665,3622,4303.333333333333
3332.3333333333335,3089.6666666666665,3575
3648,4300.333333333333,2995.6666666666665
1882.5,2151.6666666666665,1613.3333333333333
3982.6666666666665,4039,3926.3333333333335
4401.333333333333,4578,4224.666666666667
3997.8333333333335,4582.666666666667,3413
3185.5,2666.3333333333335,3704.6666666666665
5232.666666666667,4352,6113.333333333333
2704.6666666666665,1906.3333333333333,3503
3994.1666666666665,4412,3576.3333333333335
14901.5,19159,2129
3216.1666666666665,3150,3282.3333333333335
2601,3024.3333333333335,2177.6666666666665
9164.5,7393,10936
1966.6666666666667,1793,2140.3333333333335
3303,2810.6666666666665,3795.3333333333335
12488,17269.666666666668,5315.5
3540.75,3155.6666666666665,4696
4120.166666666667,3448.3333333333335,4792
4288.5,4661.666666666667,3915.3333333333335
2016.5,2326,1707
6246.166666666667,5063,7429.333333333333
5752,4514,6990
3652.5,3470,3835
1679.5,2034,1325
1736.8333333333333,1516,1957.6666666666667
5024.333333333333,3613,6435.666666666667
6006.166666666667,5712.333333333333,6300
2330.1666666666665,2353.3333333333335,2307
4753.5,4357.333333333333,5149.666666666667
3805.3333333333335,5548,2062.6666666666665
3660.3333333333335,2633.6666666666665,4687
1600.3333333333333,1688.3333333333333,1512.3333333333333
2193.5,1881.6666666666667,2505.3333333333335
2226.3333333333335,1890,2562.6666666666665
3656.3333333333335,3023,4289.666666666667
3637.5,3555.6666666666665,3719.3333333333335
3521.8333333333335,3220,3823.6666666666665
3038.8333333333335,3892.6666666666665,2185
2847.3333333333335,2784.6666666666665,2910
4102.166666666667,3802,4402.333333333333
4858.333333333333,4764.666666666667,4952
5526.166666666667,4424.333333333333,6628
7630.833333333333,5447.666666666667,9814
1961.5,1918,2005
7338.666666666667,8375.333333333334,6302
4342,3453,5231
1878.7142857142858,1891,1869.5
2494.1666666666665,2820.6666666666665,2167.6666666666665
5349.666666666667,5086.666666666667,5612.666666666667
3493.1666666666665,3836.6666666666665,3149.6666666666665
3383.1666666666665,3220.3333333333335,3546
