Type,ResponseTime
Security,2603
Safety,2734
Security,2538
Security,3675
Safety,4519
Safety,4034
Security,4087
Safety,6724
Security,4040
Security,8364
Safety,7353
Safety,8553
Security,5286
Safety,2091
Security,2430
Security,2127
Safety,2465
Safety,3048
Security,3273
Security,3315
Safety,1123
Security,1986
Security,1076
Safety,4945
Safety,4061
Security,2117
Safety,6390
Security,2354
Security,3260
Safety,2031
Safety,1740
Security,2076
Safety,3484
Security,4232
Security,4855
Safety,5338
Safety,5220
Security,3008
Safety,2874
Security,2806
Security,1964
Safety,2606
Safety,2306
Security,3535
Safety,4176
Security,1860
Security,1394
Safety,3528
Safety,11371
Security,2842
Safety,5043
Security,2712
Security,6670
Safety,4718
Safety,4631
Security,3286
Safety,3441
Security,2783
Security,5883
Safety,2188
Safety,4486
Security,2572
Safety,5694
Security,3914
Security,6147
Safety,5575
Safety,4593
Security,2501
Safety,5694
Security,4637
Security,5703
Safety,5597
Safety,5365
Security,4534
Safety,2003
Security,3003
Security,1687
Safety,1682
Safety,1425
Security,4324
Safety,5570
Security,4669
Security,8728
Safety,14956
Safety,4886
Security,7341
Safety,8365
Security,6228
Security,10885
Safety,6942
Safety,4643
Security,2629
Safety,5599
Security,5453
Security,5035
Safety,4994
Safety,5365
Security,2069
Safety,3345
Security,1035
Security,2463
Safety,4403
Safety,4106
Security,6887
Safety,2638
Security,2145
Security,1352
Safety,2667
Safety,2700
Security,6823
Safety,2066
Security,1509
Security,1347
Safety,1699
Safety,1359
Security,3773
Safety,2214
Security,2179
Security,1412
Safety,1977
Safety,2457
Security,2833
Safety,1771
Security,1984
Security,1879
Safety,2365
Safety,2835
Security,8848
Safety,6539
Security,2994
Security,7383
Safety,5458
Safety,5980
Security,9851
Safety,4485
Security,3286
Security,10003
Safety,3997
Safety,8275
Security,3842
Safety,4130
Security,2603
Security,3727
Safety,3189
Safety,5159
Security,2306
Safety,2978
Security,2843
Security,2578
Safety,3367
Safety,3859
Security,2330
Safety,1547
Security,1199
Security,1034
Safety,1332
Safety,1234
Security,4632
Safety,6752
Security,3513
Security,6359
Safety,14073
Safety,9227
